Unit ID;Name;Energy Data (Type 1);Temperature Data (Type 2);Volume Water Data (Type 3);CO₂ Data (Type 7);Heating Degree Data (Type 8);Cost Data (Type 9);Peak High Data (Type 11);Zone Cost Data (Type 47)
97893eb;a_Fjernvarme Kjøpesenter;https://www.energinet.net/api/unitdata/97893eb1;;;https://www.energinet.net/api/unitdata/97893eb7;;https://www.energinet.net/api/unitdata/97893eb9;https://www.energinet.net/api/unitdata/97893eb11;https://www.energinet.net/api/unitdata/97893eb47
97894eb;b_Fjernvarme Hotell ;https://www.energinet.net/api/unitdata/97894eb1;;;https://www.energinet.net/api/unitdata/97894eb7;;https://www.energinet.net/api/unitdata/97894eb9;https://www.energinet.net/api/unitdata/97894eb11;https://www.energinet.net/api/unitdata/97894eb47
97895eb;c_Fjernvarme Egon;https://www.energinet.net/api/unitdata/97895eb1;;;https://www.energinet.net/api/unitdata/97895eb7;;https://www.energinet.net/api/unitdata/97895eb9;https://www.energinet.net/api/unitdata/97895eb11;https://www.energinet.net/api/unitdata/97895eb47
97902eb;d_Fjernvarme Kino;https://www.energinet.net/api/unitdata/97902eb1;;;https://www.energinet.net/api/unitdata/97902eb7;;https://www.energinet.net/api/unitdata/97902eb9;https://www.energinet.net/api/unitdata/97902eb11;https://www.energinet.net/api/unitdata/97902eb47
97897eb;e_Fjernvarme Bibliotek;https://www.energinet.net/api/unitdata/97897eb1;;;https://www.energinet.net/api/unitdata/97897eb7;;https://www.energinet.net/api/unitdata/97897eb9;https://www.energinet.net/api/unitdata/97897eb11;https://www.energinet.net/api/unitdata/97897eb47
97898eb;f_Fjernvarme Bolig;https://www.energinet.net/api/unitdata/97898eb1;;;https://www.energinet.net/api/unitdata/97898eb7;;https://www.energinet.net/api/unitdata/97898eb9;https://www.energinet.net/api/unitdata/97898eb11;https://www.energinet.net/api/unitdata/97898eb47
100122eb;Ski storsenter - Solceller kvartal 17;https://www.energinet.net/api/unitdata/100122eb1;;;https://www.energinet.net/api/unitdata/100122eb7;;https://www.energinet.net/api/unitdata/100122eb9;https://www.energinet.net/api/unitdata/100122eb11;https://www.energinet.net/api/unitdata/100122eb47
44945eb;Ski Storsenter kvartal 13-14;https://www.energinet.net/api/unitdata/44945eb1;;;https://www.energinet.net/api/unitdata/44945eb7;;https://www.energinet.net/api/unitdata/44945eb9;https://www.energinet.net/api/unitdata/44945eb11;https://www.energinet.net/api/unitdata/44945eb47
35636eb;Ski Storsenter Kvartal 17;https://www.energinet.net/api/unitdata/35636eb1;;;https://www.energinet.net/api/unitdata/35636eb7;;https://www.energinet.net/api/unitdata/35636eb9;https://www.energinet.net/api/unitdata/35636eb11;https://www.energinet.net/api/unitdata/35636eb47
99860eb;Ski Storsenter Vann;;;https://www.energinet.net/api/unitdata/99860eb3;;;https://www.energinet.net/api/unitdata/99860eb9;;
39688eb;Sum leietakere;https://www.energinet.net/api/unitdata/39688eb1;;;https://www.energinet.net/api/unitdata/39688eb7;;https://www.energinet.net/api/unitdata/39688eb9;https://www.energinet.net/api/unitdata/39688eb11;
71591eb;x_Kjøling kv 17;https://www.energinet.net/api/unitdata/71591eb1;;;https://www.energinet.net/api/unitdata/71591eb7;;https://www.energinet.net/api/unitdata/71591eb9;https://www.energinet.net/api/unitdata/71591eb11;
97936eb;zx_Kalkulasjonsmåler;https://www.energinet.net/api/unitdata/97936eb1;;;https://www.energinet.net/api/unitdata/97936eb7;;https://www.energinet.net/api/unitdata/97936eb9;https://www.energinet.net/api/unitdata/97936eb11;https://www.energinet.net/api/unitdata/97936eb47
39517eb;z_Hovedmålere;https://www.energinet.net/api/unitdata/39517eb1;;;https://www.energinet.net/api/unitdata/39517eb7;;https://www.energinet.net/api/unitdata/39517eb9;https://www.energinet.net/api/unitdata/39517eb11;https://www.energinet.net/api/unitdata/39517eb47
83176eb;z_Kjøling kvartal 13-14;https://www.energinet.net/api/unitdata/83176eb1;;;https://www.energinet.net/api/unitdata/83176eb7;;https://www.energinet.net/api/unitdata/83176eb9;https://www.energinet.net/api/unitdata/83176eb11;https://www.energinet.net/api/unitdata/83176eb47
42886eb;z_Sameiet Ski Amfi;https://www.energinet.net/api/unitdata/42886eb1;;;https://www.energinet.net/api/unitdata/42886eb7;;https://www.energinet.net/api/unitdata/42886eb9;https://www.energinet.net/api/unitdata/42886eb11;https://www.energinet.net/api/unitdata/42886eb47
79711eb;z_varme tot. (eks. snøsmelt);https://www.energinet.net/api/unitdata/79711eb1;;;https://www.energinet.net/api/unitdata/79711eb7;;https://www.energinet.net/api/unitdata/79711eb9;https://www.energinet.net/api/unitdata/79711eb11;https://www.energinet.net/api/unitdata/79711eb47
81410eb;z_varme vent.;https://www.energinet.net/api/unitdata/81410eb1;;;https://www.energinet.net/api/unitdata/81410eb7;;https://www.energinet.net/api/unitdata/81410eb9;https://www.energinet.net/api/unitdata/81410eb11;https://www.energinet.net/api/unitdata/81410eb47
94795eb;z_varmebatteri 360.01-05;https://www.energinet.net/api/unitdata/94795eb1;;;https://www.energinet.net/api/unitdata/94795eb7;;https://www.energinet.net/api/unitdata/94795eb9;https://www.energinet.net/api/unitdata/94795eb11;https://www.energinet.net/api/unitdata/94795eb47
